"LOCATION","Location","OFFENCE","Offence","SCENE","Scene","YEAR","Year","MEASURE","Measure",Value,Flags
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","2011","YE 30 June 2011","RECORDED","Recorded",2,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","2012","YE 30 June 2012","RECORDED","Recorded",2,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","2013","YE 30 June 2013","RECORDED","Recorded",7,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","2014","YE 30 June 2014","RECORDED","Recorded",2,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","1995","YE 30 June 1995","RECORDED","Recorded",1442,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","1996","YE 30 June 1996","RECORDED","Recorded",1269,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","2010","YE 30 June 2010","RECORDED","Recorded",4,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","2013","YE 30 June 2013","RECORDED","Recorded",2352,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","2014","YE 30 June 2014","RECORDED","Recorded",1803,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","1995","YE 30 June 1995","RECORDED","Recorded",80,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","1996","YE 30 June 1996","RECORDED","Recorded",119,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","1997","YE 30 June 1997","RECORDED","Recorded",119,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","1998","YE 30 June 1998","RECORDED","Recorded",98,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","1999","YE 30 June 1999","RECORDED","Recorded",96,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","2000","YE 30 June 2000","RECORDED","Recorded",72,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","2001","YE 30 June 2001","RECORDED","Recorded",103,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","2002","YE 30 June 2002","RECORDED","Recorded",121,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","2003","YE 30 June 2003","RECORDED","Recorded",89,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","2004","YE 30 June 2004","RECORDED","Recorded",81,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","2005","YE 30 June 2005","RECORDED","Recorded",132,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","2006","YE 30 June 2006","RECORDED","Recorded",87,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","2007","YE 30 June 2007","RECORDED","Recorded",108,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","2008","YE 30 June 2008","RECORDED","Recorded",105,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","2009","YE 30 June 2009","RECORDED","Recorded",165,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","2010","YE 30 June 2010","RECORDED","Recorded",169,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","2011","YE 30 June 2011","RECORDED","Recorded",128,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","2012","YE 30 June 2012","RECORDED","Recorded",157,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","2013","YE 30 June 2013","RECORDED","Recorded",238,
"BG","Northland District","03","Sexual assault and related offences","Z","Total Scene","2014","YE 30 June 2014","RECORDED","Recorded",182,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","1995","YE 30 June 1995","RECORDED","Recorded",34,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","1996","YE 30 June 1996","RECORDED","Recorded",50,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","1997","YE 30 June 1997","RECORDED","Recorded",30,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","1998","YE 30 June 1998","RECORDED","Recorded",56,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","1999","YE 30 June 1999","RECORDED","Recorded",25,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2000","YE 30 June 2000","RECORDED","Recorded",31,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2001","YE 30 June 2001","RECORDED","Recorded",36,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2002","YE 30 June 2002","RECORDED","Recorded",30,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2003","YE 30 June 2003","RECORDED","Recorded",29,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2004","YE 30 June 2004","RECORDED","Recorded",41,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","2009","YE 30 June 2009","RECORDED","Recorded",5,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","2008","YE 30 June 2008","RECORDED","Recorded",3,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","2007","YE 30 June 2007","RECORDED","Recorded",5,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","2006","YE 30 June 2006","RECORDED","Recorded",3,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","2005","YE 30 June 2005","RECORDED","Recorded",1,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","2004","YE 30 June 2004","RECORDED","Recorded",4,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","2003","YE 30 June 2003","RECORDED","Recorded",3,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","2002","YE 30 June 2002","RECORDED","Recorded",5,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","2001","YE 30 June 2001","RECORDED","Recorded",3,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","2000","YE 30 June 2000","RECORDED","Recorded",10,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","1999","YE 30 June 1999","RECORDED","Recorded",3,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","1998","YE 30 June 1998","RECORDED","Recorded",1,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","1997","YE 30 June 1997","RECORDED","Recorded",3,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","1996","YE 30 June 1996","RECORDED","Recorded",5,
"BG","Northland District","01","Homicide and related offences","Z","Total Scene","1995","YE 30 June 1995","RECORDED","Recorded",5,
"BG","Northland District","Z","Total Offences","Z","Total Scene","2014","YE 30 June 2014","RECORDED","Recorded",15657,
"BG","Northland District","Z","Total Offences","Z","Total Scene","2013","YE 30 June 2013","RECORDED","Recorded",15490,
"BG","Northland District","Z","Total Offences","Z","Total Scene","2012","YE 30 June 2012","RECORDED","Recorded",15146,
"BG","Northland District","Z","Total Offences","Z","Total Scene","2011","YE 30 June 2011","RECORDED","Recorded",16275,
"BG","Northland District","Z","Total Offences","Z","Total Scene","2010","YE 30 June 2010","RECORDED","Recorded",17240,
"BG","Northland District","Z","Total Offences","Z","Total Scene","2009","YE 30 June 2009","RECORDED","Recorded",16652,
"BG","Northland District","Z","Total Offences","Z","Total Scene","2008","YE 30 June 2008","RECORDED","Recorded",15566,
"BG","Northland District","Z","Total Offences","Z","Total Scene","2007","YE 30 June 2007","RECORDED","Recorded",15452,
"BG","Northland District","Z","Total Offences","Z","Total Scene","2006","YE 30 June 2006","RECORDED","Recorded",15913,
"BG","Northland District","Z","Total Offences","Z","Total Scene","2005","YE 30 June 2005","RECORDED","Recorded",14643,
"BG","Northland District","Z","Total Offences","Z","Total Scene","2004","YE 30 June 2004","RECORDED","Recorded",15913,
"BG","Northland District","Z","Total Offences","Z","Total Scene","2003","YE 30 June 2003","RECORDED","Recorded",16550,
"BG","Northland District","Z","Total Offences","Z","Total Scene","2002","YE 30 June 2002","RECORDED","Recorded",17016,
"BG","Northland District","Z","Total Offences","Z","Total Scene","2001","YE 30 June 2001","RECORDED","Recorded",16738,
"BG","Northland District","Z","Total Offences","Z","Total Scene","2000","YE 30 June 2000","RECORDED","Recorded",16199,
"BG","Northland District","Z","Total Offences","Z","Total Scene","1999","YE 30 June 1999","RECORDED","Recorded",16791,
"BG","Northland District","Z","Total Offences","Z","Total Scene","1998","YE 30 June 1998","RECORDED","Recorded",14858,
"BG","Northland District","Z","Total Offences","Z","Total Scene","1997","YE 30 June 1997","RECORDED","Recorded",16339,
"BG","Northland District","Z","Total Offences","Z","Total Scene","1996","YE 30 June 1996","RECORDED","Recorded",16039,
"BG","Northland District","Z","Total Offences","Z","Total Scene","1995","YE 30 June 1995","RECORDED","Recorded",16731,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","2012","YE 30 June 2012","RECORDED","Recorded",1965,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","2011","YE 30 June 2011","RECORDED","Recorded",1989,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","2010","YE 30 June 2010","RECORDED","Recorded",2038,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","2009","YE 30 June 2009","RECORDED","Recorded",1922,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","2008","YE 30 June 2008","RECORDED","Recorded",1909,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","2007","YE 30 June 2007","RECORDED","Recorded",1611,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","2006","YE 30 June 2006","RECORDED","Recorded",1590,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","2005","YE 30 June 2005","RECORDED","Recorded",1323,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","2004","YE 30 June 2004","RECORDED","Recorded",1505,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","2003","YE 30 June 2003","RECORDED","Recorded",1406,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","2002","YE 30 June 2002","RECORDED","Recorded",1404,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","2001","YE 30 June 2001","RECORDED","Recorded",1437,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","2000","YE 30 June 2000","RECORDED","Recorded",1228,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","1999","YE 30 June 1999","RECORDED","Recorded",1340,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","1998","YE 30 June 1998","RECORDED","Recorded",1148,
"BG","Northland District","02","Acts intended to cause injury","Z","Total Scene","1997","YE 30 June 1997","RECORDED","Recorded",1239,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2005","YE 30 June 2005","RECORDED","Recorded",29,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2006","YE 30 June 2006","RECORDED","Recorded",19,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2007","YE 30 June 2007","RECORDED","Recorded",22,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2008","YE 30 June 2008","RECORDED","Recorded",30,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2009","YE 30 June 2009","RECORDED","Recorded",31,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2010","YE 30 June 2010","RECORDED","Recorded",23,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2011","YE 30 June 2011","RECORDED","Recorded",41,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2012","YE 30 June 2012","RECORDED","Recorded",43,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2013","YE 30 June 2013","RECORDED","Recorded",46,
"BG","Northland District","04","Dangerous or negligent acts endangering persons","Z","Total Scene","2014","YE 30 June 2014","RECORDED","Recorded",25,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","1995","YE 30 June 1995","RECORDED","Recorded",290,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","1996","YE 30 June 1996","RECORDED","Recorded",280,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","1997","YE 30 June 1997","RECORDED","Recorded",348,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","1998","YE 30 June 1998","RECORDED","Recorded",273,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","1999","YE 30 June 1999","RECORDED","Recorded",368,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2000","YE 30 June 2000","RECORDED","Recorded",382,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2001","YE 30 June 2001","RECORDED","Recorded",453,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2002","YE 30 June 2002","RECORDED","Recorded",468,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2003","YE 30 June 2003","RECORDED","Recorded",439,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2004","YE 30 June 2004","RECORDED","Recorded",491,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2005","YE 30 June 2005","RECORDED","Recorded",450,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2006","YE 30 June 2006","RECORDED","Recorded",518,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2007","YE 30 June 2007","RECORDED","Recorded",478,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2008","YE 30 June 2008","RECORDED","Recorded",494,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2009","YE 30 June 2009","RECORDED","Recorded",532,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2010","YE 30 June 2010","RECORDED","Recorded",579,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2011","YE 30 June 2011","RECORDED","Recorded",502,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2012","YE 30 June 2012","RECORDED","Recorded",537,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2013","YE 30 June 2013","RECORDED","Recorded",756,
"BG","Northland District","05","Abduction, harassment and other related offences against a person","Z","Total Scene","2014","YE 30 June 2014","RECORDED","Recorded",696,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","1995","YE 30 June 1995","RECORDED","Recorded",68,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","1996","YE 30 June 1996","RECORDED","Recorded",67,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","1997","YE 30 June 1997","RECORDED","Recorded",84,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","1998","YE 30 June 1998","RECORDED","Recorded",57,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","1999","YE 30 June 1999","RECORDED","Recorded",66,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2000","YE 30 June 2000","RECORDED","Recorded",66,
"BG","Northland District","06","Robbery, extortion and related offences","Z","Total Scene","2001","YE 30 June 2001","RECORDED","Recorded",73,
